id_chamada;data;nome_fluxo;qtde_rtd_nok;qtde_rtd_ok;qtde_chamadas;tempo_total_rtd;tempo_min_rtd;tempo_max_rtd;tempo_medio_rtd
0;;;0;0;1;0;0;0;0;
8bce18a26d;17/02/2023;migracaolateralnbo;0;1;1;6,459632873535156;6,459632873535156;6,459632873535156;6,459632873535156;
daab945e48;17/02/2023;upgradenbo;0;1;1;2,7669761180877686;2,7669761180877686;2,7669761180877686;2,7669761180877686;
8d04da8b72;17/02/2023;upgradenbo;0;1;1;1,8404970169067383;1,8404970169067383;1,8404970169067383;1,8404970169067383;
aae2e951d0;17/02/2023;upgradenbo;0;1;1;2,703481674194336;2,703481674194336;2,703481674194336;2,703481674194336;
f1829f83f9;17/02/2023;upgradenbo;0;1;1;2,0525009632110596;2,0525009632110596;2,0525009632110596;2,0525009632110596;
c01a0276a3;17/02/2023;downgradenbo;0;1;1;7,519794225692749;7,519794225692749;7,519794225692749;7,519794225692749;
5804165518;17/02/2023;downgradenbo;0;1;1;1,8909389972686768;1,8909389972686768;1,8909389972686768;1,8909389972686768;
519eafd3f0;18/02/2023;;0;0;1;0;0;0;0;
6d9c7b53f1;18/02/2023;upgradenbo;0;1;1;9,227306604385376;9,227306604385376;9,227306604385376;9,227306604385376;
b53d9dc259;18/02/2023;upgradenbo;0;1;1;6,197648525238037;6,197648525238037;6,197648525238037;6,197648525238037;
5889a020c0;19/02/2023;migracaolateralnbo;0;1;1;2,5180792808532715;2,5180792808532715;2,5180792808532715;2,5180792808532715;
84e5a3c8e1;19/02/2023;upgradenbo;0;1;1;2,259108304977417;2,259108304977417;2,259108304977417;2,259108304977417;
70098c4251;19/02/2023;downgradenbo;0;1;1;13,22010350227356;13,22010350227356;13,22010350227356;13,22010350227356;
712c510931;19/02/2023;downgradenbo;0;1;1;2,611417531967163;2,611417531967163;2,611417531967163;2,611417531967163;
8c692b7a4b;19/02/2023;migracaolateralnbo;0;1;1;6,428966283798218;6,428966283798218;6,428966283798218;6,428966283798218;
53b0ea2feb;19/02/2023;upgradenbo;0;1;1;13,896536111831665;13,896536111831665;13,896536111831665;13,896536111831665;
